source,question_id,subject,question,question_type,answer_options,num_options,question_length
Pew_American_Trends_Panel_W49.csv,1416,General Opinion,"How acceptable, if at all, do you find using facial recognition technology in the following situations? Law enforcement agencies assessing potential security threats in public spaces",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,182
Pew_American_Trends_Panel_W49.csv,1417,General Opinion,"How acceptable, if at all, do you find using facial recognition technology in the following situations? Companies automatically tracking the attendance of their employees",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,170
Pew_American_Trends_Panel_W49.csv,1418,General Opinion,"How acceptable, if at all, do you find using facial recognition technology in the following situations? Advertisers seeing how people respond to public advertising displays",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,172
Pew_American_Trends_Panel_W49.csv,1419,General Opinion,"How acceptable, if at all, do you find using facial recognition technology in the following situations? Apartment building landlords tracking who enters or leaves their buildings",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,178
Pew_American_Trends_Panel_W50.csv,1423,Ethics & Values,"In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,129
Pew_American_Trends_Panel_W50.csv,1424,Economy & Work,"In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,120
Pew_American_Trends_Panel_W50.csv,1425,Ethics & Values,"In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,108
Pew_American_Trends_Panel_W50.csv,1426,Ethics & Values,"In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,131
Pew_American_Trends_Panel_W50.csv,1427,Economy & Work,"In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,122
Pew_American_Trends_Panel_W50.csv,1428,Ethics & Values,"In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,110
Pew_American_Trends_Panel_W50.csv,1429,General Opinion,How much do you agree or disagree with the following statement? Society is better off if couples who want to stay together long-term eventually get married.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,156
Pew_American_Trends_Panel_W50.csv,1430,General Opinion,How much do you agree or disagree with the following statement? Society is just as well off when couples who want to stay together long term choose not to marry as when they eventually marry.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,191
Pew_American_Trends_Panel_W50.csv,1431,General Opinion,How much do you agree or disagree with the following statement? Couples who are married do a better job raising children than couples who are living together but are not married.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,178
Pew_American_Trends_Panel_W50.csv,1432,General Opinion,How much do you agree or disagree with the following statement? Couples who are living together but are not married can raise children just as well as married couples.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,167
Pew_American_Trends_Panel_W50.csv,1433,General Opinion,"How much do you agree or disagree with the following statement? In general, an unmarried person living with a partner has it easier when it comes to achieving being financially secure goals.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,190
Pew_American_Trends_Panel_W50.csv,1434,General Opinion,"How much do you agree or disagree with the following statement? In general, a married person has it easier when it comes to achieving being financially secure goals.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,165
Pew_American_Trends_Panel_W50.csv,1435,General Opinion,"How much do you agree or disagree with the following statement? In general, an unmarried person living with a partner has it easier when it comes to achieving having a fulfilling sex life goals.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,194
Pew_American_Trends_Panel_W50.csv,1436,General Opinion,"How much do you agree or disagree with the following statement? In general, a married person has it easier when it comes to achieving having a fulfilling sex life goals.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,169
Pew_American_Trends_Panel_W50.csv,1437,General Opinion,"How much do you agree or disagree with the following statement? In general, an unmarried person living with a partner has it easier when it comes to achieving having social status goals.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,186
Pew_American_Trends_Panel_W50.csv,1438,General Opinion,"How much do you agree or disagree with the following statement? In general, a married person has it easier when it comes to achieving having social status goals.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,161
Pew_American_Trends_Panel_W50.csv,1439,General Opinion,"How much do you agree or disagree with the following statement? In general, an unmarried person living with a partner has it easier when it comes to achieving being happy.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,171
Pew_American_Trends_Panel_W50.csv,1440,General Opinion,"How much do you agree or disagree with the following statement? In general, a married person has it easier when it comes to achieving being happy.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,146
Pew_American_Trends_Panel_W50.csv,1441,General Opinion,"Compared with couples who don't live together before marriage, do you think couples who do live together before marriage have a better or worse chance of having a successful marriage?",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,183
Pew_American_Trends_Panel_W50.csv,1442,Ethics & Values,"How important, if at all, do you think it is for a person to be financially stable before getting married?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,106
Pew_American_Trends_Panel_W50.csv,1443,Economy & Work,"How important, if at all, do you think it is for a person to have a steady job before getting married?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,102
Pew_American_Trends_Panel_W50.csv,1444,Ethics & Values,"How important, if at all, do you think it is for a person to be completely committed to their partner before getting married?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,125
Pew_American_Trends_Panel_W50.csv,1445,Ethics & Values,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to be financially stable before moving in with their partner?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,191
Pew_American_Trends_Panel_W50.csv,1446,Economy & Work,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to have a steady job before moving in with their partner?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,187
Pew_American_Trends_Panel_W50.csv,1447,Ethics & Values,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to be completely committed to their partner before moving in with their partner?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,210
Pew_American_Trends_Panel_W50.csv,1448,General Opinion,How much do you agree or disagree with the following statement? The ideal situation for women with young children is working full-time for pay.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,143
Pew_American_Trends_Panel_W50.csv,1449,General Opinion,How much do you agree or disagree with the following statement? The ideal situation for women with young children is working part-time for pay.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,143
Pew_American_Trends_Panel_W50.csv,1450,General Opinion,How much do you agree or disagree with the following statement? The ideal situation for women with young children is not working for pay at all.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,144
Pew_American_Trends_Panel_W50.csv,1451,General Opinion,How much do you agree or disagree with the following statement? The ideal situation for men with young children is working full-time for pay.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,141
Pew_American_Trends_Panel_W50.csv,1452,General Opinion,How much do you agree or disagree with the following statement? The ideal situation for men with young children is working part-time for pay.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,141
Pew_American_Trends_Panel_W50.csv,1453,General Opinion,How much do you agree or disagree with the following statement? The ideal situation for men with young children is not working for pay at all.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,142
Pew_American_Trends_Panel_W50.csv,1454,General Opinion,How much do you agree or disagree with the following statement? Parents of young adults ages 18 to 29 care too much for their adult children.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,141
Pew_American_Trends_Panel_W50.csv,1455,General Opinion,How much do you agree or disagree with the following statement? Parents of young adults ages 18 to 29 care too little for their adult children.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,143
Pew_American_Trends_Panel_W54.csv,1516,General Opinion,"How much do you agree or disagree with the following statement? Regarding their financial situation, most Americans live comfortably.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,133
Pew_American_Trends_Panel_W54.csv,1517,General Opinion,"How much do you agree or disagree with the following statement? Regarding their financial situation, most Americans meet their basic expenses with a little left over for extras.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,177
Pew_American_Trends_Panel_W54.csv,1518,General Opinion,"How much do you agree or disagree with the following statement? Regarding their financial situation, most Americans just meet their basic expenses.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,147
Pew_American_Trends_Panel_W54.csv,1519,General Opinion,"How much do you agree or disagree with the following statement? Regarding their financial situation, most Americans don't even have enough to meet basic expenses.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,162
Pew_American_Trends_Panel_W54.csv,1522,Politics & Government,How important should the following be for the federal government to address? Making health care more affordable,Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,111
Pew_American_Trends_Panel_W54.csv,1523,Politics & Government,How important should the following be for the federal government to address? Dealing with terrorism,Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,99
Pew_American_Trends_Panel_W54.csv,1524,Politics & Government,How much do you agree or disagree with the following statement? An adequate standard of living is something the federal government has a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,181
Pew_American_Trends_Panel_W54.csv,1525,Politics & Government,How much do you agree or disagree with the following statement? An adequate standard of living is something the federal government does not have a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,191
Pew_American_Trends_Panel_W54.csv,1526,Politics & Government,How much do you agree or disagree with the following statement? Adequate housing is something the federal government has a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,167
Pew_American_Trends_Panel_W54.csv,1527,Politics & Government,How much do you agree or disagree with the following statement? Adequate housing is something the federal government does not have a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,177
Pew_American_Trends_Panel_W54.csv,1528,Politics & Government,How much do you agree or disagree with the following statement? High quality K-12 education is something the federal government has a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,178
Pew_American_Trends_Panel_W54.csv,1529,Politics & Government,How much do you agree or disagree with the following statement? High quality K-12 education is something the federal government does not have a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,188
Pew_American_Trends_Panel_W54.csv,1530,Politics & Government,How much do you agree or disagree with the following statement? A college education is something the federal government has a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,170
Pew_American_Trends_Panel_W54.csv,1531,Politics & Government,How much do you agree or disagree with the following statement? A college education is something the federal government does not have a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,180
Pew_American_Trends_Panel_W54.csv,1532,Politics & Government,How much do you agree or disagree with the following statement? Adequate income in retirement is something the federal government has a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,180
Pew_American_Trends_Panel_W54.csv,1533,Politics & Government,How much do you agree or disagree with the following statement? Adequate income in retirement is something the federal government does not have a responsibility to provide for all Americans.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,190
Pew_American_Trends_Panel_W54.csv,1534,Politics & Government,How much do you agree or disagree with the following statement? Adequate medical care is something the federal government has a responsibility to provide for all Americans,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,171
Pew_American_Trends_Panel_W54.csv,1535,Politics & Government,How much do you agree or disagree with the following statement? Adequate medical care is something the federal government does not have a responsibility to provide for all Americans,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,181
Pew_American_Trends_Panel_W54.csv,1536,Politics & Government,How much do you agree or disagree with the following statement? Health insurance is something the federal government has a responsibility to provide for all Americans,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,166
Pew_American_Trends_Panel_W54.csv,1537,Politics & Government,How much do you agree or disagree with the following statement? Health insurance is something the federal government does not have a responsibility to provide for all Americans,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,176
Pew_American_Trends_Panel_W54.csv,1538,Politics & Government,How much do you agree or disagree with the following statement? Access to high-speed internet is something the federal government has a responsibility to provide for all Americans,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,179
Pew_American_Trends_Panel_W54.csv,1539,Politics & Government,How much do you agree or disagree with the following statement? Access to high-speed internet is something the federal government does not have a responsibility to provide for all Americans,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,189
Pew_American_Trends_Panel_W54.csv,1540,Economy & Work,"A year from now, do you expect that economic conditions in the country as a whole will be better or worse?",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,106
Pew_American_Trends_Panel_W54.csv,1541,Economy & Work,"How much, if at all, do you think the availability of jobs is contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,122
Pew_American_Trends_Panel_W54.csv,1542,Economy & Work,"How much, if at all, do you think how the stock market is doing is contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,127
Pew_American_Trends_Panel_W54.csv,1543,Economy & Work,"How much, if at all, do you think prices for food and consumer goods are contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,133
Pew_American_Trends_Panel_W54.csv,1544,Economy & Work,"How much, if at all, do you think real estate values are contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,117
Pew_American_Trends_Panel_W54.csv,1545,Economy & Work,"How much, if at all, do you think gas prices are contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,109
Pew_American_Trends_Panel_W54.csv,1546,Economy & Work,"How much, if at all, do you think the federal budget deficit is contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,124
Pew_American_Trends_Panel_W54.csv,1547,Economy & Work,"How much, if at all, do you think wages and incomes are contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,116
Pew_American_Trends_Panel_W54.csv,1548,Economy & Work,"How much, if at all, do you think the country's tax system is contributing to your opinion about how the economy is doing?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,122
Pew_American_Trends_Panel_W54.csv,1553,Economy & Work,Do you think that some amount of economic inequality is acceptable?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,67
Pew_American_Trends_Panel_W54.csv,1554,Economy & Work,Do you think that no amount of economic inequality is acceptable?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,65
Pew_American_Trends_Panel_W54.csv,1555,Economy & Work,"How much do you agree or disagree with the following statement? In order to address economic inequality in this country, the economic system requires only minor changes.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,169
Pew_American_Trends_Panel_W54.csv,1556,Economy & Work,"How much do you agree or disagree with the following statement? In order to address economic inequality in this country, the economic system requires major changes.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,164
Pew_American_Trends_Panel_W54.csv,1557,Economy & Work,"How much do you agree or disagree with the following statement? In order to address economic inequality in this country, the economic system needs to be completely rebuilt.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,172
Pew_American_Trends_Panel_W54.csv,1558,Economy & Work,"How much responsibility, if any, should state governments have in reducing economic inequality in our country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,110
Pew_American_Trends_Panel_W54.csv,1559,Economy & Work,"How much responsibility, if any, should large businesses and corporations have in reducing economic inequality in our country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,126
Pew_American_Trends_Panel_W54.csv,1560,Economy & Work,"How much responsibility, if any, should churches and other religious organizations have in reducing economic inequality in our country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,135
Pew_American_Trends_Panel_W54.csv,1561,Economy & Work,"How much responsibility, if any, should wealthy individuals have in reducing economic inequality in our country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,112
Pew_American_Trends_Panel_W54.csv,1562,Economy & Work,"How much, if at all, do you think our current trade policies with other countries contributes to economic inequality in this country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,133
Pew_American_Trends_Panel_W54.csv,1563,Economy & Work,"How much, if at all, do you think the automation of jobs contributes to economic inequality in this country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,108
Pew_American_Trends_Panel_W54.csv,1564,Economy & Work,"How much, if at all, do you think our tax system contributes to economic inequality in this country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,100
Pew_American_Trends_Panel_W54.csv,1565,Economy & Work,"How much, if at all, do you think problems with our educational system contributes to economic inequality in this country?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,122
Pew_American_Trends_Panel_W54.csv,1566,Social,"Thinking about children growing up in this country these days, how much, if at all, do you think their family's financial situation impacts their ability to succeed in life?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,173
Pew_American_Trends_Panel_W54.csv,1568,Economy & Work,"How much, if at all, do you think the following proposals would do to reduce economic inequality in the U.S.? Ensuring that workers have the skills they need for today's jobs",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,174
Pew_American_Trends_Panel_W54.csv,1569,Economy & Work,"How much do you agree or disagree with the following statement? In order to address economic inequality in this country, it would be better for the government to give direct assistance to people who are poor in the form of cash payments or tax credits.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,252
Pew_American_Trends_Panel_W54.csv,1570,Economy & Work,"How much do you agree or disagree with the following statement? In order to address economic inequality in this country, it would be better for the government to invest in education and job training programs for people who are poor.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,232
Pew_American_Trends_Panel_W54.csv,1572,Economy & Work,How much power and influence do you think politicians have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,78
Pew_American_Trends_Panel_W54.csv,1573,Economy & Work,How much power and influence do you think technology companies have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,87
Pew_American_Trends_Panel_W54.csv,1574,Economy & Work,How much power and influence do you think labor unions have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,79
Pew_American_Trends_Panel_W54.csv,1575,Economy & Work,How much power and influence do you think banks and other financial institutions have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,105
Pew_American_Trends_Panel_W54.csv,1576,Economy & Work,How much power and influence do you think small businesses have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,83
Pew_American_Trends_Panel_W54.csv,1577,Economy & Work,How much power and influence do you think large corporations have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,85
Pew_American_Trends_Panel_W54.csv,1578,Economy & Work,How much power and influence do you think people who are poor have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,86
Pew_American_Trends_Panel_W54.csv,1579,Economy & Work,How much power and influence do you think the middle class have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,83
Pew_American_Trends_Panel_W54.csv,1580,Economy & Work,How much power and influence do you think Health insurance companies have on today's economy?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,93
Pew_American_Trends_Panel_W92.csv,1592,General Opinion,How much do you agree or disagree with the following statement? Religion should be kept separate from government policies.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,122
Pew_American_Trends_Panel_W92.csv,1593,General Opinion,How much do you agree or disagree with the following statement? Government policies should support religious values and beliefs.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,128
Pew_American_Trends_Panel_W92.csv,1594,General Opinion,"How much do you agree or disagree with the following statement? Government aid to the poor does more harm than good, by making people too dependent on government assistance.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,173
Pew_American_Trends_Panel_W92.csv,1595,General Opinion,"How much do you agree or disagree with the following statement? Government aid to the poor does more good than harm, because people can't get out of poverty until their basic needs are.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,185
Pew_American_Trends_Panel_W92.csv,1596,General Opinion,How much do you agree or disagree with the following statement? It's not the government's job to protect people from themselves.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,128
Pew_American_Trends_Panel_W92.csv,1597,General Opinion,How much do you agree or disagree with the following statement? Sometimes laws to protect people from themselves are necessary.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,127
Pew_American_Trends_Panel_W92.csv,1598,General Opinion,How much do you agree or disagree with the following statement? Business corporations make too much profit.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,107
Pew_American_Trends_Panel_W92.csv,1599,General Opinion,How much do you agree or disagree with the following statement? Most corporations make a fair and reasonable amount of profit.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,126
Pew_American_Trends_Panel_W92.csv,1600,General Opinion,How much do you agree or disagree with the following statement? Other countries generally treat the United States about as fairly as we treat them.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,147
Pew_American_Trends_Panel_W92.csv,1601,General Opinion,How much do you agree or disagree with the following statement? Other countries often take unfair advantage of the United States.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,129
Pew_American_Trends_Panel_W92.csv,1602,General Opinion,How much do you agree or disagree with the following statement? Compromise in politics is really just selling out on what you believe in.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,137
Pew_American_Trends_Panel_W92.csv,1603,General Opinion,"How much do you agree or disagree with the following statement? Compromise is how things get done in politics, even though it sometimes means sacrificing your beliefs.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,167
Pew_American_Trends_Panel_W92.csv,1604,General Opinion,How much do you agree or disagree with the following statement? The best way to ensure peace is through military strength.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,122
Pew_American_Trends_Panel_W92.csv,1605,General Opinion,How much do you agree or disagree with the following statement? Good diplomacy is the best way to ensure peace.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,111
Pew_American_Trends_Panel_W92.csv,1606,General Opinion,"How much do you agree or disagree with the following statement? In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,181
Pew_American_Trends_Panel_W92.csv,1607,General Opinion,"How much do you agree or disagree with the following statement? In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,172
Pew_American_Trends_Panel_W92.csv,1608,General Opinion,How much do you agree or disagree with the following statement? Voting is a fundamental right for every adult U.S. citizen and should not be restricted in any way.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,163
Pew_American_Trends_Panel_W92.csv,1609,General Opinion,How much do you agree or disagree with the following statement? Voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don't meet some require.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,185
Pew_American_Trends_Panel_W92.csv,1610,General Opinion,How much do you agree or disagree with the following statement? America's openness to people from all over the world is essential to who we are as a nation.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,156
Pew_American_Trends_Panel_W92.csv,1611,General Opinion,"How much do you agree or disagree with the following statement? If America is too open to people from all over the world, we risk losing our identity as a nation.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,162
Pew_American_Trends_Panel_W92.csv,1612,General Opinion,How much do you agree or disagree with the following statement? Most things in society can be pretty clearly divided into good and evil.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,136
Pew_American_Trends_Panel_W92.csv,1613,General Opinion,How much do you agree or disagree with the following statement? Most things in society are too complicated to be clearly divided between good and evil.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,151
Pew_American_Trends_Panel_W82.csv,1614,General Opinion,How much do you agree or disagree with the following statement? It is best for the future of our country to be active in world affairs.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,135
Pew_American_Trends_Panel_W82.csv,1615,General Opinion,How much do you agree or disagree with the following statement? We should pay less attention to problems overseas and concentrate on problems here at home.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,155
Pew_American_Trends_Panel_W92.csv,1616,General Opinion,How much do you agree or disagree with the following statement? Government is almost always wasteful and inefficient.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,117
Pew_American_Trends_Panel_W92.csv,1617,General Opinion,How much do you agree or disagree with the following statement? Government often does a better job than people give it credit for.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,130
Pew_American_Trends_Panel_W82.csv,1618,General Opinion,"How much do you agree or disagree with the following statement? In foreign policy, the US should take into account the interests of its allies even if it means making compromises with national interests.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,203
Pew_American_Trends_Panel_W82.csv,1619,General Opinion,"How much do you agree or disagree with the following statement? In foreign policy, the US should follow its own national interests even when its allies strongly disagree.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,170
